Affix,Type
a,prefix
an,suffix
ay,prefix
k,prefix
ka,prefix
kay,prefix
e,prefix
i,prefix
in,infix
in,prefix
in,suffix
m,prefix
ma,prefix
mag,prefix
mak,prefix
maka,prefix
maki,prefix
man,prefix
mani,prefix
mang,prefix
may,prefix
me,prefix
mey,prefix
mi,prefix
mik,prefix
miki,prefix
mip,prefix
n,suffix
na,prefix
p,prefix
pa,prefix
pag,prefix
paki,prefix
pan,prefix
pani,prefix
pang,prefix
panig,prefix
pam,prefix
pami,prefix
pe,prefix
peka,prefix
pi,prefix
ran,suffix
rin,suffix
sing,infix
y,infix
<word first syllable>,prefix
<root word>,suffix
