word,part_of_speech,definition
a,Article,1. introductory exclamation like English Oh or Well. 2. miki-a ‘to say “ah”’. 3. grammatical functor marking attribution.
abaka,Noun,"the abaca plant, fiber, or cloth."
a’bak,Verb,"mayabak, mayayabak, meyabak; to do something until morning; become morning."
a’bak,Noun,morning.
abala’,Verb,"bother, worry. [usually distributive: mangabala’, as in: e ka mangabala. ‘Don’t worry’]."
a’be,Verb,"makiyabe ‘accompany’; mi-abeyabe ‘live together, stay together’,"
a’be,Noun,"friend, companion [used as a term of address], kayabe ‘companion’; pa:makiya’be ‘the skill of making and keeping friends’."
abi’su,Verb,-an: ‘to warn someone’; ma-‘to be warned’; payabi’su ‘have someone warned’; i-‘take something as a warning’.
abi’su,Noun,warning; subpoena; ma:nabi’su ‘one who
ablas,Verb,"-an ‘to return something’; imitate. maki- -an ‘to answer back, retort’, mablas, minablas, paki-qablas, payablasan, inablas, ayablas, makayablas, meyablas, pamanablas, pekaqablas."
ablas,Noun,what one gives in return for something else. echo; revenge. kakablas ‘echo’.
abo’,Noun,left-over food.
abo’no,Verb,"man- ‘to fertilize’; pa-‘have something fertilized’; maki-, paki-‘share fertilizer’."
abri’l,Noun,the month of April.
absang,Verb,"in–an, mi–an ‘be swarmed on by tiny insects called absang’,"
absang,Noun,"gnat, fruitfly (?)–a very small insect."
-absi’q,Verb,magpaka-‘eat one’s fill’. See qabsiq.
-absi’q,Adjective/Adverb,satisfied (with respect to hunger).
abu’,Verb,man-‘become ash’; mi–an ‘get ashes on self’; -an [abwan] ‘scour (using ash)’.
abu’,Noun,ashes.
abuka’du,Noun,avocado (a fruit).
abuga’du,Verb,"pag–an ‘submit something to lawyers’. magqabugadu, see qabugadu."
abuga’du,Noun,lawyer.
abu’lud,Verb,"-an [abuluran] ‘to de-rib (to remove the center rib from a leaf)’, ‘to put a crease in’."
abusa’du,Verb,"man-, pa-‘abuse, take unfair advantage’."
abusa’du,Adjective/Adverb,ma-.
abusa’du,Noun,"one who takes unfair advantage; ka- -an,"
a’but,Verb,"‘reach’, ‘hand something to someone’. ‘understand’: E ku pa ayabutan. ‘I can’t grasp the meaning yet’."
abya’s,Noun,"milled rice. maga:qabyas ‘rice dealer’ [bigasera–from Tagalog, is also used]."
aka’sya,Noun,"acacia, a kind of tree."
akba’k,Verb,-an ‘to put something on a spit’; pa- ‘to have something spitted’.
akba’k,Adjective/Adverb,ma-‘to be spitted’.
akba’k,Noun,"a spit, made of bamboo, for barbecuing."
akbu’ng,Noun,explosion. pa:pakbu’ng ‘a toy gun or bamboo piston device used to make fruit see ds shoot out–like a pop-gun; or a nail-and-tube device for exploding caps’.
a’kit,Verb,"see c'f., -kit. ikit."
a’kit,Noun,pan-akit-an ‘earnings’.
akla’t,Noun,"book (more commonly, libru). aklatan ‘library’."
akmu’l,Verb,-an ‘swallow something’; in-‘be swallowed’.
akmu’l,Noun,akmulan ‘throat’.
aksaya’q,Adjective/Adverb,extravagant.
akside’nti,Verb,manga-[distributive] have an accident.
akside’nti,Adjective/Adverb,mayaksidenti ‘be hurt in an accident’.
akside’nti,Noun,accident.
a’ku,Pronoun,‘I’.
a:ku,,"c'f., nga:ku ‘I said…’."
adja’r,Verb,"-an ‘to grate, scrape’."
adja’r,Noun,adjaran-ungut ‘coconut-grating stool’; see kudkuran. pipagadjaran ‘place for scraping’.
-adi’q,Verb,mang- ‘pray’ (intransitive). pa:ng- ‘pray for something’; maki-‘pray together’; pakipang- ‘pray together for…’.
admiru’l,Adjective/Adverb,starched.
adwa’q,Verb,pangaladwan ‘do something a second time’.
adwa’q,Numbers,two. kakadwaq ‘second’; pangalawaq ‘the second one (e'g. child)’.
aga’d,Qualifier,"straightaway, immediately."
agka’t,Verb,"summon, invite, signal. man-, -an, pa-, pan-."
agka’t,Adjective/Adverb,may-‘be invited’.
agka’t,Noun,pa:managkat ‘manner of inviting’.
a’giq,Noun,spider web.
a’giq,Adjective/Adverb,mayagiq ‘be full of cobwebs’.
a’giq,Verb,man- ‘to remove cobwebs’; pa-‘have cobwebs
aginaldu,Noun,Christmas gift; see qaginaldu.
ago’sto,Noun,the month of August.
agyang,Qualifier,"even, in spite of."
agta’l,Verb,"harvest, gather. ma:magtal, agtala’n, papayagtal, manayagtal."
agta’l,Noun,pa:nagtal ‘the harvest’; pi:panagtala’n ‘place of harvest’.
aksaya’q,Adjective/Adverb,extravagant.
akside’nti,Noun,accident.
akside’nti,Verb,manga-[distributive] ‘have an accident’.
akside’nti,Adjective/Adverb,mayaksidenti ‘be hurt in an accident’.
a’gum,Verb,"associate. maki-a’gum ‘join a group’,"
