phrase,meaning,tag,english,filipino,context,Actual words that kapampangan would say [Consulted kapampangan speaker]
aldo-aldo,mean something happens on a daily basis,Noun (time/frequency),everyday,araw-araw,used for discussions,N/A
yaku ampo ika,means emphasizing as together,Pronouns + Conjunction,I and you,ako at ikaw,used for discussions,yaku ampo ika
bayung banua,dictates the year of anew,Adjective + Noun,new year,bagong taon,used for celebration,N/A
kening bale,discuss about home,Preposition + Noun,this house,itong bahay,used for discussions,N/A
marakal rikado,to say many ingridients,Adjective + Noun,many ingredients,maraming sangkap,can be used for instructions,N/A
delikadong dalan,giving warning statement about the road,Adjective + Noun,dangerous road,dalikadong daan,used for giving directions / warnings,dangerous to bring (alternative) / marakal rikado
gintong ebun,Methaphor to an item that can give richness,Adjective + Noun,golden egg,gintong itlog,used in idioms or metaphors,N/A
ikami ngan,giving inclusion to people of discussion,Pronoun + Adverb,all of us,kaming lahat,used for inclusivity / group statements,N/A
lual bale,statement about outside the house,Adverb/Preposition + Noun,outside the house,labas ng bahay,used for location,N/A
retang malan,stating of the direction of the clothes,Demonstrative + Noun,those clothes,yung mga damit,used for pointing objects,N/A
lawen me lalam lamesa,to see beyond the bigger picture,Verb + Pronoun + Preposition + Noun,look under the table,tumingin sa ilalim ng lamesa,used for instructions,N/A
keng wanan gamat ku susulat,states on the use of the right hand in writing,Preposition + Noun + Verb Phrase,I write using my right hand,sumusulat ako gamit ang aking kanang kamay,used for dictation / description,keng wanan gamat ku susulat / susulat ku keng wana gamat / wanang gamat keng panyulat
kalagurang ko reng pengari ku,Emphasizing for the love of parents,Verb + Pronoun + Noun Phrase,I love my parents,mahal ko ang aking magulang,used for expressions of affection,N/A
kaya ya ing bag,statement of the person's bag,Pronoun + Verb + Noun,It his/her bag,Sa kanya yung bag,used for dictation,N/A
nanung gagawan mu,to greet a pleasant morning,Adjective + Noun,good morning ,magandang umaga,used as greeting,nanung gagawan mu
mikit tamu potang ganingaldo,giving instruction on time of meetup,Verb + Pronoun + Time Expression,let us meet later at midnight,magkita tayo mayang hating gabi,used for planning/appointments,N/A
ung gagawan mu,asking of an action of a person,Interrogative + Verb + Pronoun,what are you doing,anong ginagawa mo,used for asking actions,N/A
ninu ka,used for introductions,Interrogative Pronoun + Pronoun,who are you,sino ka,used for introductions,ninu ka
kapilan ka munta kekami,asking for a schedule,Interrogative + Pronoun + Verb + Pronoun,when will you go yo our place,kailan ka pupunta sa samin,used for asking schedule,N/A
nokarin ka makatukg,inquiry about a specific place,Interrogative + Pronoun + Verb,where do you live,saan ka nakatira,used for asking location,N/A
bakit ka mimwa,hearing on expression of anger emotion,Interrogative + Pronoun + Verb,why are you angry,bakit ka nagagalit,used for expressing emotion,N/A
makananung malutung sisg,inquiry on instructions to cook a dish (sisig),Verb Phrase + Noun,how to cook sisig,paano magluto ng sisg,used for instructions,makananung malutung sisg
byasa kang magsalitang english,asking about a person ability to speak english,Verb + Pronoun + Noun,do you speak english,nakapagsasalita ka ba ng ingles,used for asking ability,byasa kang magsalitang english
nokarin yang lugar ini,asking about the place,Interrogative + Pronoun + Noun + Demonstrative,where is this place,san lugar ito,used for asking location,N/A
nanung lagyu mu,asking about the identification of the person,Interrogative + Noun + Pronoun,what is your name,anong pangalan mo,used for introductions,nanung lagyu mu
nokarin ing paradahan,asking about whereabouts of the terminal,Interrogative + Noun,where is the terminal,nasaan ang paradahan,used for asking,N/A
mayap a bage,expression on good thing,Noun,a good thing,magandang bagay,used for positive expression,mayap a bage
saguli mu,requesting for a little more tme,Adverbial Expression,just a moment / wait a second,sandali lang,used for requesting (to wait),saguli mu
kara’t,making babies,Verb,making babies,paggawa ng bata,used as slang,N/A
ke’ke,[babytalk] ‘put it here’,Imperative Verb,[babytalk] ‘put it here’,ilagay mo dito,used for dirty talk,N/A
eka milbabala,reassuring a person's emotion,Negative Particle + Pronoun + Verb,Don’t worry,huwag magalala,used for reassurance,eka milbabala
Tugtugan yu ing dinat yu,instruct someone to flush the toilet,Verb,Flush the toilet,buhusan yung inidoro,used for instruction,
nanung gagawan mu,asking a person if he has a free time,Interrogative + Verb + Pronoun,are you doing something?,may ginagawa ka ba?,used for asking what someone is doing,nanung gagawan mu
mingat ka pane,reminding for the person to be cautious,Verb (imperative) + Pronoun + Adverb,be careful always,mag ingat palagi,used for reminders / warnings,mingat ka pane
ok nangan,stating that all is set and prepared,Interjection + Verb (past),everything is ready,handa na lahat,used for confirming readiness,ok nangan
mayap ideya,to tell a person's great approach to a problem,Adjective + Noun,good idea,magandang iedya,used for giving suggestions,mayap ideya
istu ya,stating that the person is correct,Adjective + Pronoun,he's right,tama siya,used for agreement / confirming correctness,istu ya
mengan naku,means already finished eating,Verb (past) + Pronoun,i ate already,kumain na ako,used for telling someone you already ate,mengan naku
eku antindyan,telling that the person is unsure to the concept,Negative + Pronoun + Verb,i don't understand,hindi ko maintindihan,used when expressing lack of understanding,eku antindyan
balu ku,stating person have a grasp to the subject,Verb + Pronoun,i know,alam ko,used for stating knowledge,balu ku
mebalik ku pota,reassuring a person that he/she will return,Verb + Pronoun,i'll come back later,babalik ako mamaya,used for promising to return,mebalik ku pota
yaku na ing mamayad,saying that person will cover the bill,Pronoun + Particle + Noun,i'll pay,ako na magbayad,used when volunteering to pay,yaku na ing mamayad
kunan ke yan,dictating to grab one's belongings,Verb + Pronoun + Demonstrative,i'll take that,kuhanin ko iyan,used for claiming or taking something,kunan ke yan
awala keng relo ku,means the person can not find his/her watch,Verb (lost) + Preposition + Noun,i lost my watch,nawala ko aking relos,used for saying you lost something,awala keng relo ku
mako naku,indicates future action of departure,Verb (leave) + Pronoun,i'm going to leave,aalis na ako,used for telling departure,mako naku
masaya ku,someone is feeling a sensation of pleasure,Adjective + Pronoun,i'm happy,masaya ako,used to express happiness,masaya ku
danupan ku,"having a desire, craving, need for food",Verb (desire/hunger) + Pronoun,i'm hungry,gutom ako,used to express hunger,danupan ku
eku balu,means lacking complete certainty about a topic,Negative + Pronoun + Verb,i'm not sure,hindi ako sigurado,used to express uncertainty,eku balu
mawa ku,having a physical need to drink,Verb/Adjective (thirsty) + Pronoun,i'm thirsty,uhaw ako,used to express thirst,mawa ku
kelangan ku muli,desire to return to one's physical dwelling,Noun (need) + Pronoun + Verb,i need to go home,kailangan ko umuwi,used to express need to go home,kelangan ku muli
eku pa ikit yen,encountering something for the very first time,Negative + Particle + Verb + Pronoun,i've never seen that before,hindi ko pa iyan nakikita,used for saying it hasn’t been seen yet,eku pa ikit yen
lawen ku,confirming something before taking action,Verb + Pronoun,let me check,tingnan ko,used for checking / confirming,lawen ku
ali pa,denial with no further information of the moment,Negative Particle + Adverb,not yet,hindi pa,used for denying something not yet done,ali pa
wa naman,to give or emphasize an agreement or permission,Interjection + Particle,of course,syempre,used for strong agreement,wa naman
wa,to express agreement,Interjection,okay,sige,used for quick agreement (okay),wa
sabyan mu kaku,asking someone to provide information,Verb + Pronoun + Pronoun,you tell me,sabihin mo sakin,used for asking someone to tell you,sabyan mu kaku
dalan me kilwal,to move an altercation or fight to oudoor location,Noun (way) + Pronoun + Verb,take it outside,dalhin mo sa labas,used for encouraging to settle dispute outside,dalan me kilwal
hanggang keng tutuki,informal way to say farewell to a person,Preposition + Preposition + Noun,till next time,hanggang sa muli,used as farewell,hanggang keng tutuki
salamat keng eganagana,sincere and complete expression of appreciation,Noun (thanks) + Preposition + Quantifier,thanks for everything,salamat sa lahat,used for expressing full gratitude,salamat keng eganagana
salamat keng sau mu,an expression of gratitude for assistance,Noun (thanks) + Preposition + Noun + Pronoun,thanks for your help,salamat sa iyong tulong,used for thanking for help,salamat keng sau mu
kagalan dakang akilala,a polite formula used on being introduced to people,Verb (be pleased) + Pronoun + Verb (meet),nice to meet you,ikinagagalak kita makilala,used as a polite greeting upon introduction,kagalan dakang akilala
musta ka,used to ask someone if they are well on time being,Contraction (from “kamusta”) + Pronoun,how are you,kamusta kana?,used for asking someone’s well-being,musta ka
kagalan dakang akit ngeni,said when you are glad that someone is present,Verb + Pronoun + Verb (see) + Time Adverb,good to see you,ikinagagalak kita makita,used when meeting someone after a while,kagalan dakang akit ngeni
ing lagyu ku,phrase used to introduce yourself by identification,Article + Noun (name) + Pronoun,my name is...,ang pangalan ko ay...,used for self-introduction,ing lagyu ku
